U/2, B;I, mkA
3;1.5
6;2
9;3
12;5
15;11
18;18
21;25
24;30
27;35
30;39
33;42
35;45
36;47
37;48
38;49
39;50
40;51
41;52
42;52
43;53
44;53
45;53
46;53
47;52
48;51
49;50
50;48
51;47
52;46
53;44
54;42
55;41
56;39
57;39
58;38.5
59;38.5
60;38.5
61;38.5
62;39.5
63;40
64;41
65;43
66;44
67;46
68;47
69;49
70;50
71;51
72;53
73;54
74;55
75;57
76;57.5
77;58
78;59
79;59.5
80;60
81;60
82;60
83;60
84;60
85;59.5
86;59.5
87;59
88;58.5
89;58
90;57
91;57
92;57
93;56
94;56
95;55.5
96;55.5
97;55
98;55
99;55.5
100;56
101;56
102;56.5
103;57
104;57
105;57.5
106;58
107;58.5
108;59
109;59.5
110;60
112;61.5
113;62
114;62.5
115;63
120;66.5